generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0793727,0.001,0.0360529,0
500000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.00472462,0.00247764,0.0282313,0
500000,Salamandrella_keyserlingii,Ranodon_sibiricus,233.41,0.17015,-0.0119613,0.00674262,0
500000,Rhyacotriton_cascadae,Amphiuma_tridactylum,118.306,0.0534702,-0.00627513,0.0169525,0
500000,Ambystoma_gracile,Ambystoma_opacum,237.595,0.126535,-0.00304608,0.0114686,0
500000,Mertensiella_caucasica,Pleurodeles_waltl,197.374,0.145826,-0.00279082,0.0823838,0
500000,Necturus_lewisi,Necturus_punctatus,186.492,0.0796126,0.00387608,0.104217,0
500000,Plethodon_petraeus,Plethodon_kentucki,252.844,0.154808,0.002486,0.00336147,0
500000,Eurycea_chamberlaini,Eurycea_quadridigitata,236.023,0.125312,0.00411194,0.0282004,0
500000,Nototriton_barbouri,Nototriton_lignicola,224.999,0.144505,0.00230486,0.0524727,0
500000,Pseudoeurycea_papenfussi,Pseudoeurycea_brunnata,249.66,0.122867,-0.00466378,0.0146861,0
500000,Ensatina_eschscholtzii,Hemidactylium_scutatum,166.85,0.0623273,-0.000878159,0.00222357,0
500000,Cryptobranchus_alleganiensis,Urupia_monstrosa,38.38,0.0987365,-0.00427264,0.058057,0
1000000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0129142,0.00386767,0.0140313,0
1000000,Salamandrella_keyserlingii,Parahynobius_kordosi,210.085,0.147779,-0.00294302,0.0506309,0
1000000,Opithisthotriton_kayi,Hylaeobatrachus_croyi,131.775,0.253818,-0.0047497,0.180711,0
1000000,Ambystoma_talpoideum,Ambystoma_gracile,217.212,0.0771752,0.00287435,0.0185266,0
1000000,Salamandrina_perspicillata,Mertensiella_caucasica,174.359,0.202643,-0.00500193,0.0994038,0
1000000,Plethodon_sherando,Plethodon_websteri,230.323,0.119067,-0.0117087,0.0108703,0
1000000,Eurycea_rathbuni,Eurycea_troglodytes,255.235,0.226124,0.00307322,0.0983417,0
1000000,Nototriton_saslaya,Nototriton_guanacaste,259.648,0.240753,6.54158e-05,0.0627292,0
1000000,Parvimolge_townsendi,Bolitoglossa_cerroensis,208,0.0891238,0.00139374,0.0145157,0
1000000,Ensatina_eschscholtzii,Hemidactylium_scutatum,158.511,0.0713498,-0.00342487,0.00342817,0
1000000,Cryptobranchus_alleganiensis,Kokartus_honorarius,42.3001,0.0841458,-0.0022771,0.0608133,0
1500000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.00329167,0.00620616,0.0103689,0
1500000,Salamandrella_keyserlingii,Ranodon_sibiricus,233.756,0.100617,-0.0050807,0.00738389,0
1500000,Opithisthotriton_kayi,Hylaeobatrachus_croyi,126.432,0.369937,-0.00451507,0.236036,0
1500000,Ambystoma_cingulatum,Ambystoma_maculatum,244.857,0.127741,-0.00536204,0.0046331,0
1500000,Salamandrina_perspicillata,Mertensiella_caucasica,188.573,0.17794,-0.00534682,0.0854166,0
1500000,Plethodon_sherando,Plethodon_websteri,236.479,0.146532,-0.000313236,0.0134727,0
1500000,Eurycea_rathbuni,Eurycea_troglodytes,255.189,0.171623,0.0114235,0.0298155,0
1500000,Nototriton_limnospectator,Nototriton_richardi,247.67,0.189142,0.00112019,0.0340264,0
1500000,Nyctanolis_pernix,Thorius_minutissimus,192.43,0.102133,-0.00720721,0.00164341,0
1500000,Ensatina_eschscholtzii,Hemidactylium_scutatum,153.268,0.0582912,0.00091744,0.00811925,0
1500000,Cryptobranchus_alleganiensis,Urupia_monstrosa,18.8229,0.122467,-0.00377424,0.0707014,0
