generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,0.702505,-8233.57,200,0.013422,0
500000,11,72.4485,-6796.71,15.1489,0.0942442,0.35
1000000,8,51.2228,-6787.96,7.54655,0.090788,0.373
1500000,9,57.417,-6787.29,8.33244,0.0926364,0.369
2000000,6,35.1878,-6794.77,12.3551,0.0909099,0.345
2500000,9,52.8057,-6791.01,15.8198,0.0935781,0.358
3000000,8,50.6374,-6793.6,11.9147,0.0960206,0.334
3500000,10,62.435,-6796.5,21.4066,0.0888785,0.365
4000000,7,46.0411,-6786.4,8.246,0.0920368,0.331
4500000,8,54.8807,-6787.7,8.93047,0.0872517,0.361
5000000,8,47.2186,-6785.84,8.81048,0.0933688,0.356
5500000,8,51.6472,-6789.65,11.406,0.0896104,0.345
6000000,9,63.2111,-6789.36,7.55783,0.0949765,0.325
6500000,7,47.6238,-6789.19,5.26745,0.0929347,0.3394
7000000,9,60.204,-6787.37,4.89417,0.0973826,0.328
7500000,11,76.4046,-6789.96,10.3642,0.091399,0.3425
8000000,7,44.3815,-6791.94,6.13823,0.0893493,0.328
8500000,11,73.0255,-6793.37,8.68368,0.0965721,0.355
9000000,8,45.887,-6787.72,6.93737,0.0900674,0.3335
9500000,7,46.6345,-6785.8,8.416,0.0917938,0.3545
10000000,7,42.7448,-6787.71,12.431,0.0925451,0.3455
10500000,6,42.0105,-6792.1,10.2852,0.0951162,0.301
11000000,9,52.3847,-6792.34,9.25489,0.0893277,0.335
11500000,8,52.9869,-6783.83,12.5537,0.0903602,0.3345
12000000,7,48.9416,-6798.15,5.10763,0.0905243,0.33
12500000,8,54.754,-6787.97,9.36268,0.0925393,0.328
13000000,6,35.4592,-6790,5.68092,0.091212,0.33125
13500000,8,52.5107,-6789.44,4.84161,0.0950386,0.359
14000000,9,56.8715,-6789.77,6.54396,0.0949552,0.335
14500000,12,70.5544,-6789.03,10.4135,0.0903396,0.337
15000000,8,49.4817,-6788.25,9.45042,0.0933045,0.327
15500000,10,64.9145,-6782.63,6.05454,0.0939106,0.334
16000000,7,46.9936,-6792.62,9.79397,0.0919239,0.3555
16500000,8,56.4948,-6794.19,12.1582,0.0876518,0.3395
17000000,11,67.1084,-6793.3,13.635,0.0872732,0.346
17500000,9,51.181,-6793.1,11.8285,0.0884592,0.3615
18000000,7,46.4277,-6798.96,6.75136,0.0916703,0.347
18500000,8,54.6257,-6784.25,3.03145,0.0921758,0.314
19000000,7,40.1923,-6797.07,4.33913,0.0916856,0.3425
19500000,11,71.3896,-6793.43,10.7227,0.0973135,0.3645
20000000,7,46.8265,-6789.05,5.40312,0.0924601,0.303
20500000,6,40.2373,-6784.2,9.25191,0.0928954,0.3165
21000000,8,51.9592,-6793.21,7.95916,0.0949436,0.345
21500000,8,55.2284,-6792.29,10.0009,0.0887997,0.318
22000000,7,43.9614,-6787.12,5.61547,0.0914452,0.358
22500000,9,60.0614,-6782.32,4.99086,0.095144,0.341
23000000,8,52.4803,-6790.62,10.3135,0.090748,0.328
23500000,9,58.395,-6796.1,11.8188,0.0892732,0.3525
24000000,9,61.8595,-6782.64,6.9604,0.0916168,0.333
24500000,10,55.313,-6776.42,9.41825,0.0902518,0.3315
25000000,9,60.3907,-6791.71,13.5574,0.0903845,0.357
25500000,7,40.4192,-6789.2,9.72398,0.0900575,0.324
26000000,10,63.5183,-6781.48,8.3606,0.0899062,0.33
26500000,8,48.2461,-6785.44,8.74023,0.088893,0.348
27000000,11,74.6813,-6771.93,9.85184,0.0920902,0.33
27500000,10,61.0661,-6779.65,11.5952,0.0903937,0.331
28000000,8,51.6184,-6791.48,11.2671,0.0900645,0.352
28500000,5,35.3226,-6796.16,11.3109,0.0919768,0.344
29000000,9,57.1254,-6782.56,5.24538,0.0893021,0.344
29500000,9,59.0277,-6785.22,12.7629,0.0902149,0.33
30000000,9,56.9255,-6787.53,6.73279,0.0929614,0.3335
30500000,11,66.9052,-6783.31,15.5994,0.0950518,0.366
31000000,6,41.5155,-6788.49,10.3148,0.0938345,0.33375
31500000,9,57.6312,-6782.7,11.9281,0.0936075,0.319
32000000,8,50.3725,-6793.63,7.62339,0.087368,0.3525
32500000,12,81.0171,-6786.64,5.93283,0.0876109,0.333
33000000,8,53.3118,-6793.21,5.09062,0.0960257,0.313
33500000,8,56.2179,-6787.76,8.16208,0.092996,0.344
34000000,9,56.8065,-6784.28,10.2217,0.090472,0.346
34500000,11,67.2547,-6778.29,7.02078,0.0938841,0.34
35000000,9,61.7328,-6790,10.4894,0.0917728,0.337
35500000,10,66.8969,-6780.95,10.5106,0.0927587,0.355
36000000,7,49.2008,-6793.5,12.0525,0.0922419,0.337
36500000,9,54.9253,-6794.11,8.42679,0.0899643,0.336
37000000,9,57.4445,-6778.9,9.05745,0.0893274,0.338
37500000,8,51.1912,-6788.27,10.7832,0.0869103,0.355
38000000,7,44.4734,-6784.87,4.20211,0.0894852,0.345333
38500000,6,35.1319,-6786.46,6.21519,0.0922668,0.295
39000000,8,56.0473,-6788.91,8.43712,0.0908377,0.334
39500000,7,46.7669,-6787.28,4.15556,0.0935191,0.3365
40000000,7,44.7364,-6788.07,5.20506,0.0959178,0.3245
40500000,10,66.8238,-6794.27,8.23342,0.0907758,0.368
41000000,8,51.3729,-6792.99,7.05395,0.0947959,0.332125
41500000,10,61.1955,-6783.99,9.01971,0.0954146,0.366
42000000,7,46.8311,-6790.49,12.3346,0.0905278,0.342
42500000,6,37.3846,-6790.3,7.46343,0.090059,0.3395
43000000,10,61.5885,-6788.33,6.40303,0.0917918,0.353
43500000,8,54.7775,-6786.66,12.8967,0.0886741,0.349143
44000000,6,40.4219,-6794.22,4.00848,0.0930226,0.326
44500000,7,51.18,-6795.51,8.82969,0.0886728,0.3385
45000000,6,39.6196,-6795.17,4.01491,0.092064,0.309
