generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,0.689353,-8243.79,200,0.013422,0
500000,8,53.3138,-6800.37,11.8925,0.0908664,0.321
1000000,8,53.6516,-6801.61,10.3788,0.0909236,0.333
1500000,7,48.3023,-6813.38,11.0603,0.0930259,0.307
2000000,8,56.2805,-6812.8,8.01861,0.0916583,0.332
2500000,6,44.1558,-6814.1,10.585,0.0911517,0.3304
3000000,9,64.0632,-6814.84,11.2724,0.0891469,0.311
3500000,9,60.7286,-6812.47,16.975,0.0941263,0.351
4000000,8,48.4457,-6815.4,8.03225,0.0912113,0.357
4500000,9,56.1276,-6815.78,17.4212,0.0914741,0.343
5000000,7,46.1094,-6811.15,7.21374,0.0877183,0.332
5500000,8,55.8674,-6820.01,10.1012,0.0908078,0.331
6000000,7,37.6245,-6802.18,7.01384,0.0938269,0.3305
6500000,12,78.2527,-6805.8,13.152,0.0911029,0.348
7000000,7,47.3231,-6813.94,13.9107,0.0937863,0.331
7500000,9,52.3846,-6817.08,7.39165,0.0886372,0.343
8000000,7,47.3725,-6808.66,4.93968,0.0935292,0.328
8500000,7,45.2756,-6816.22,11.0397,0.0963028,0.339
9000000,10,62.7546,-6806.77,8.02446,0.0879736,0.339
9500000,6,36.7192,-6811.34,4.73418,0.0881813,0.327167
10000000,10,67.7904,-6809.71,10.1908,0.0940712,0.346
10500000,10,66.3885,-6808.47,11.3058,0.0959732,0.342
11000000,9,61.1716,-6807.4,7.3783,0.0884627,0.349
11500000,11,67.9269,-6810.37,17.1857,0.0908771,0.336667
12000000,8,54.3673,-6805.92,13.9337,0.088969,0.329
12500000,8,52.9249,-6816.64,7.97771,0.0934588,0.327
13000000,6,41.7689,-6826.33,2.9073,0.0888542,0.3246
13500000,8,54.1675,-6820.93,8.15856,0.0927725,0.351
14000000,6,35.6361,-6812.21,12.8048,0.0952876,0.334667
14500000,6,38.1476,-6812.5,3.18965,0.0914798,0.333
15000000,6,36.6222,-6805.78,5.42667,0.0948393,0.3105
15500000,7,44.6059,-6805.79,5.51471,0.0907481,0.34125
16000000,6,36.6483,-6818.4,4.2486,0.0909812,0.3285
16500000,7,47.0808,-6816.18,7.06065,0.0928115,0.345
17000000,9,58.9271,-6804.33,14.5918,0.0900496,0.347
17500000,7,42.4429,-6806.66,4.10085,0.0915273,0.3415
18000000,10,63.4104,-6811.3,7.57498,0.0841141,0.3275
18500000,9,56.4826,-6811.75,7.07779,0.091391,0.323
19000000,9,58.8078,-6806.48,8.88292,0.0918625,0.339
19500000,9,60.0702,-6810.56,9.80619,0.091731,0.296
20000000,8,54.4507,-6819.8,8.58258,0.0919358,0.370333
20500000,7,48.6419,-6804.65,17.297,0.0936021,0.340333
21000000,8,45.8355,-6808.14,6.05475,0.091335,0.385
21500000,7,50.3093,-6814.31,6.35414,0.0858997,0.292
22000000,10,66.2618,-6804.95,22.6782,0.0936101,0.335
22500000,9,64.5585,-6804.47,8.75416,0.08999,0.303
23000000,8,51.9539,-6813.88,10.0159,0.0966864,0.311
23500000,9,59.9616,-6800.94,10.1664,0.093855,0.319
24000000,11,71.1824,-6816.59,8.3709,0.0907316,0.373
24500000,6,40.1752,-6819.72,7.45928,0.0915979,0.3445
25000000,7,42.6837,-6812.65,7.51118,0.0918797,0.325
25500000,8,48.3458,-6811.5,7.44312,0.0903768,0.335
26000000,6,38.5752,-6815.94,4.14132,0.0844031,0.314
26500000,8,53.6889,-6808.13,10.6678,0.0921034,0.347
27000000,6,39.2604,-6825.83,3.8402,0.0854004,0.3345
27500000,5,34.4272,-6820.26,7.43993,0.0906615,0.3115
28000000,9,57.8152,-6806.73,18.0904,0.091398,0.357
28500000,10,64.2474,-6805.08,11.4565,0.0878845,0.356
29000000,10,64.4433,-6811.5,9.64308,0.0896453,0.349
29500000,6,39.3531,-6810.95,9.65675,0.0931973,0.302
30000000,10,63.4386,-6805.77,10.1471,0.090082,0.366
30500000,6,40.491,-6814.39,4.84796,0.0889912,0.3305
31000000,9,56.5341,-6808.48,5.78756,0.0874465,0.352
31500000,8,52.2841,-6805.66,5.75856,0.093619,0.318
32000000,10,67.3191,-6809.5,9.54885,0.0895943,0.352
32500000,6,39.8822,-6816.1,7.95561,0.0927389,0.331
33000000,8,51.8826,-6818.95,9.16871,0.0955329,0.3205
33500000,7,46.5361,-6812.03,5.36009,0.0897481,0.361
34000000,7,47.332,-6806.35,10.8626,0.0902151,0.343667
34500000,6,37.805,-6816.23,7.54327,0.0965919,0.317437
35000000,8,49.7123,-6819.3,10.9944,0.0903874,0.320167
35500000,7,47.3111,-6813.11,7.92856,0.0911171,0.343
36000000,6,42.4489,-6814.99,2.63117,0.0922424,0.336
36500000,10,66.4738,-6810.31,11.9511,0.0934643,0.35
37000000,7,46.9277,-6815.86,8.14973,0.0937167,0.32
37500000,6,30.2,-6813.01,8.54815,0.0908822,0.309333
38000000,6,37.6155,-6819.32,7.41944,0.0890928,0.3255
38500000,8,52.5621,-6805.5,7.57563,0.0908764,0.335
39000000,8,55.6386,-6810.09,8.47451,0.0928281,0.333
39500000,7,47.9503,-6814.5,6.18206,0.0930139,0.336667
40000000,7,37.2864,-6805.15,3.61678,0.0927082,0.293
40500000,5,35.3957,-6817.44,3.8889,0.0910928,0.32625
41000000,9,61.5499,-6811.95,7.38194,0.0944633,0.349
41500000,7,48.0679,-6807.9,6.52207,0.094939,0.339
42000000,6,42.9278,-6834.29,2.89713,0.0909815,0.298
42500000,6,40.5834,-6811.03,3.95286,0.0895575,0.326
43000000,10,59.3653,-6807.23,10.7715,0.094032,0.38
43500000,8,50.698,-6810.68,7.64415,0.0975149,0.332
44000000,9,57.237,-6813.88,8.16338,0.0888854,0.336
44500000,9,62.2271,-6805.11,11.5445,0.0905568,0.334
45000000,7,44.9189,-6809.4,11.8243,0.0921856,0.341
45500000,8,51.9245,-6811.39,12.4275,0.0904876,0.328
46000000,7,44.6574,-6817.39,8.44574,0.0918024,0.3192
46500000,10,68.801,-6801.28,13.7594,0.0869318,0.346
47000000,10,56.7301,-6800.23,13.0091,0.0854093,0.35
47500000,12,77.0768,-6800.57,13.9146,0.0910466,0.361
48000000,9,55.1682,-6809.07,7.26731,0.0934179,0.339
48500000,11,69.617,-6804.42,13.739,0.0892213,0.344
49000000,7,44.8082,-6809.21,11.4694,0.0919725,0.3175
49500000,10,64.0343,-6816.29,11.7161,0.0913568,0.3595
50000000,11,75.6905,-6818.55,10.527,0.0892352,0.366
50500000,7,47.6552,-6812.12,8.04459,0.0918128,0.305
51000000,9,56.9287,-6800.05,8.78846,0.0925825,0.346
51500000,6,40.6805,-6816.98,6.30168,0.0876414,0.314
52000000,8,47.9855,-6821.56,6.42298,0.0952566,0.3235
52500000,8,46.6173,-6812.04,9.05281,0.0968457,0.277
53000000,7,44.7135,-6817.1,10.5817,0.0897288,0.3355
53500000,9,58.9068,-6809.76,13.2596,0.0917051,0.32
54000000,8,52.1815,-6809,9.73075,0.0933419,0.3355
54500000,8,55.1715,-6819.04,8.45743,0.0888727,0.356
55000000,10,68.7867,-6808.4,9.45388,0.0888624,0.318
55500000,7,46.4401,-6807.33,5.42174,0.0891565,0.319
56000000,8,53.5383,-6805.35,8.73045,0.0897824,0.319
56500000,7,45.4296,-6807.65,3.5579,0.0945227,0.3395
57000000,9,61.6497,-6809.33,9.86976,0.0919023,0.333
57500000,6,41.8993,-6817.94,6.23842,0.089854,0.330667
58000000,8,45.8316,-6808.2,5.49921,0.0889525,0.337
58500000,8,53.9722,-6813.74,11.4232,0.0923796,0.3365
59000000,7,41.951,-6799.45,14.2338,0.0899839,0.314
59500000,8,54.0907,-6808.12,11.3878,0.0905005,0.338
60000000,11,75.7231,-6810.28,10.6235,0.0933934,0.364
60500000,15,94.7489,-6805.02,13.5575,0.0891297,0.358
61000000,8,51.4116,-6811.89,7.92753,0.0899562,0.322
61500000,8,49.919,-6811.88,7.51818,0.0887202,0.342
62000000,6,39.7868,-6822.95,6.05917,0.0862501,0.3175
62500000,11,74.5409,-6804.1,12.9134,0.0922567,0.345
63000000,7,45.0319,-6823.96,9.7186,0.093852,0.33375
63500000,12,72.5564,-6805.76,16.4367,0.0920587,0.335
64000000,8,53.4876,-6807.42,10.7502,0.0915673,0.34
64500000,9,54.5655,-6803.1,9.01144,0.0902896,0.3095
65000000,6,39.403,-6814.4,6.53268,0.0901725,0.3345
65500000,10,64.9692,-6809.09,11.2871,0.0900448,0.355
66000000,8,51.4337,-6817.27,5.42459,0.0908236,0.314
66500000,8,54.0736,-6810.54,5.50983,0.0898911,0.313
67000000,7,41.3902,-6806.25,7.50273,0.0929447,0.32
67500000,12,76.8597,-6809.99,11.3333,0.0893916,0.367
68000000,8,51.0047,-6800.81,7.22697,0.0902468,0.339
68500000,6,33.2936,-6811.63,5.95126,0.0915404,0.305
69000000,7,48.5573,-6817.05,9.62655,0.0894162,0.328
69500000,7,39.1138,-6811.69,6.11312,0.093598,0.337
70000000,6,31.4476,-6810.23,5.40799,0.0887728,0.3215
70500000,7,46.4723,-6808.83,5.88063,0.091514,0.313
71000000,9,60.6267,-6815.07,11.2591,0.0880393,0.36
71500000,6,36.8562,-6806.02,7.6937,0.0861684,0.328
72000000,9,59.8333,-6812.15,12.3459,0.0899807,0.334
72500000,7,39.6179,-6812.66,7.35212,0.091645,0.329
73000000,6,40.0381,-6814.68,5.04513,0.0865873,0.311667
73500000,10,66.7928,-6813.4,8.1578,0.0923561,0.339
74000000,9,51.3105,-6804.16,15.2068,0.0901821,0.3055
74500000,8,51.8195,-6809.95,7.30895,0.0839687,0.358
75000000,7,45.4633,-6807.64,7.15454,0.0897725,0.324
75500000,12,76.249,-6806.42,19.2499,0.0886612,0.36
76000000,6,42.4515,-6816.72,8.30675,0.0880754,0.328
76500000,7,41.9726,-6814.84,5.5755,0.0879534,0.293
77000000,10,59.0892,-6810.23,15.607,0.0900021,0.327
77500000,6,40.1848,-6820.22,10.9137,0.0880037,0.3315
78000000,7,50.2207,-6810.06,11.8089,0.0883601,0.33
78500000,10,60.2049,-6816.18,15.5103,0.0908625,0.299
79000000,10,65.3007,-6805.6,13.7475,0.0933148,0.332
79500000,7,44.082,-6812.27,8.24181,0.0897582,0.336
80000000,8,50.4034,-6814.54,8.93733,0.091011,0.3025
80500000,7,44.3976,-6817.88,8.54871,0.0919874,0.3305
81000000,6,41.6327,-6815.04,7.73602,0.0874936,0.319375
81500000,6,40.8876,-6823.14,9.02629,0.0929646,0.321886
82000000,10,69.4585,-6800.02,9.48978,0.0908428,0.357
82500000,7,44.8995,-6817.08,7.49228,0.0930101,0.322333
83000000,7,46.8492,-6813.53,4.97852,0.0951173,0.314
83500000,7,44.4809,-6804.53,8.64969,0.0919352,0.311
84000000,12,80.0519,-6806.75,14.3506,0.0914758,0.327
84500000,8,53.9,-6800.87,14.5638,0.0923569,0.3215
85000000,6,38.915,-6813.71,9.03318,0.0886961,0.3085
85500000,12,76.5541,-6803.42,10.0084,0.0929945,0.34625
86000000,8,52.2256,-6802.25,16.3914,0.0918075,0.336
86500000,7,46.5195,-6807.16,4.71769,0.0907095,0.333
87000000,8,56.1455,-6808.09,5.04459,0.0891422,0.352
87500000,7,41.6109,-6815.65,7.27865,0.0927908,0.3405
