generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,0.678787,-3194.92,200,0.013422,0
500000,9,57.8209,-2995.51,11.0164,0.00555534,0.382
1000000,7,38.3199,-2998.34,10.7576,0.00529612,0.378
1500000,15,94.6463,-2987.17,15.1486,0.00497005,0.381
2000000,10,65.2181,-2991.92,11.9543,0.00442619,0.33
2500000,18,113.496,-2990.77,13.2956,0.00478963,0.352
3000000,11,65.0795,-2993.73,12.8268,0.0048393,0.3675
3500000,9,54.1399,-3006.71,9.58973,0.00484625,0.371
4000000,8,53.0397,-3003.03,16.2329,0.00506598,0.347
4500000,5,30.1058,-3012.32,7.59121,0.00473431,0.357778
5000000,6,32.5765,-3005.08,9.748,0.00426545,0.360714
5500000,8,50.1548,-2999.61,5.34256,0.00487361,0.373
6000000,10,61.0381,-2990.64,10.7524,0.00496312,0.387
6500000,8,46.8516,-2997.97,5.13738,0.00383125,0.362
7000000,10,68.1793,-3003.36,16.2075,0.00429666,0.372
7500000,9,57.0244,-3004.34,7.01654,0.00439969,0.369
8000000,10,61.9558,-2999.04,16.0726,0.00439002,0.39
8500000,10,59.5252,-2992.17,9.72405,0.00477108,0.3585
9000000,10,59.4225,-2988.19,16.8063,0.00429947,0.391
9500000,9,58.4828,-2989.27,4.95814,0.0046898,0.341
10000000,9,55.8288,-3004.91,7.71526,0.0051057,0.371
10500000,15,88.583,-2991.28,20.1801,0.00475416,0.338
11000000,10,59.1885,-2994.46,8.7452,0.005169,0.332
11500000,12,70.7676,-2984.7,17.8353,0.00477648,0.357
12000000,8,51.8995,-3004.67,7.62194,0.0053717,0.353
12500000,8,49.1913,-2994.41,13.299,0.00458287,0.3652
13000000,12,73.9964,-2993.91,20.3146,0.00486646,0.342
13500000,12,76.6716,-2981.26,9.14209,0.0063213,0.35
14000000,5,31.6827,-3021.59,8.94137,0.00507652,0.349
14500000,13,82.864,-2988.45,10.2066,0.00382132,0.421
15000000,10,63.5555,-2993.32,13.8069,0.00566604,0.375
15500000,10,61.2617,-2994.78,18.6295,0.00465321,0.3575
16000000,9,54.8374,-2994.69,4.22448,0.00612915,0.371
16500000,12,74.301,-2993.03,10.537,0.00404177,0.345
17000000,15,93.1754,-2984.62,14.875,0.00509477,0.388
17500000,10,63.0183,-2996.56,9.81897,0.00456197,0.389
18000000,12,68.5129,-2994.41,10.9296,0.00490895,0.343
18500000,11,68.6317,-3003.77,12.1672,0.00545041,0.328
19000000,6,38.0478,-3011.03,2.6597,0.00565532,0.352333
19500000,7,45.933,-3007.68,11.6297,0.00438269,0.363
20000000,13,84.4428,-3001.16,19.7852,0.00536581,0.369
20500000,8,50.5043,-3000.87,9.65299,0.0041184,0.382
21000000,15,89.866,-3000.32,16.5712,0.00687061,0.369
21500000,10,57.7,-2986.65,14.2659,0.0047952,0.352
22000000,8,51.2693,-2991.57,10.4692,0.00479625,0.349
22500000,9,53.67,-2991.96,6.41756,0.00502248,0.328
23000000,7,41.5322,-2997.91,6.68895,0.00551357,0.353
23500000,13,78.6352,-2995.02,16.3085,0.00429353,0.353
24000000,13,73.513,-2996.42,5.88746,0.00498842,0.362
24500000,8,45.1999,-2997.46,8.45331,0.00549064,0.343
25000000,11,62.0945,-3003.89,10.3344,0.00544433,0.371
25500000,7,41.411,-3002.53,14.7643,0.00495394,0.3545
26000000,10,65.3189,-3004.65,9.92052,0.00516044,0.372
26500000,19,113.24,-2994.39,27.5229,0.00486071,0.377
27000000,12,75.4643,-2999.41,11.011,0.00454194,0.357
27500000,11,66.0438,-2995.46,14.256,0.004191,0.39
28000000,9,45.7451,-2997.94,12.9753,0.00476904,0.358
28500000,11,69.5159,-2992.49,16.7232,0.00567091,0.342
29000000,10,59.6405,-2998.09,6.4413,0.00482045,0.3535
29500000,9,53.846,-2997.9,8.87373,0.00525157,0.3495
30000000,13,79.1428,-2996.43,13.9121,0.00442485,0.383
30500000,10,66.1964,-2997.65,9.10358,0.00577501,0.361333
31000000,13,69.603,-2983.88,11.3717,0.00514694,0.343
31500000,12,70.2155,-3001.72,10.8825,0.00365196,0.35
32000000,10,62.6152,-3004.93,18.6674,0.00490885,0.32
32500000,11,68.328,-2990.54,9.02003,0.00509008,0.381
33000000,8,45.9038,-3001.82,11.3223,0.00518823,0.353
33500000,8,47.4441,-2998.62,6.32426,0.00504645,0.317
34000000,11,70.8005,-2993.94,12.6437,0.00552926,0.366
34500000,13,80.3331,-2989.05,13.6756,0.00525137,0.363
35000000,8,50.9094,-2995.87,9.71083,0.00436586,0.333
35500000,17,107.164,-2987.21,19.7454,0.00508006,0.363
36000000,14,85.2337,-2988.57,18.616,0.00404541,0.358
36500000,8,48.9085,-2997.46,5.92954,0.00464797,0.361167
37000000,9,57.9194,-2995.24,10.5721,0.00594224,0.366
37500000,10,65.5296,-2997.79,11.8736,0.00485151,0.381
38000000,13,77.976,-2994.45,16.6276,0.004882,0.382
38500000,17,95.2915,-2986.54,16.3912,0.00454965,0.386
