generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,0.711179,-8199.42,200,0.013422,0
500000,7,43.9776,-6744.18,7.51088,0.0945544,0.3
1000000,8,54.672,-6735.7,11.1604,0.0924144,0.336
1500000,6,38.2594,-6753.25,12.3459,0.0983796,0.32
2000000,9,60.4218,-6740.53,9.65786,0.0991583,0.309
2500000,9,63.7343,-6738.39,7.66124,0.092432,0.337
3000000,11,73.2384,-6737.41,13.3898,0.0992911,0.347
3500000,9,54.293,-6737.67,12.0001,0.0949876,0.327846
4000000,7,45.9772,-6737.74,5.79728,0.0941635,0.325333
4500000,8,47.1864,-6732.81,6.74232,0.0946289,0.323
5000000,6,39.7647,-6747.2,5.31711,0.0934129,0.343
5500000,10,67.7575,-6733.41,9.79277,0.094339,0.342
6000000,6,37.2928,-6743.5,10.6752,0.0973762,0.305
6500000,6,41.4536,-6748.64,5.86038,0.0913315,0.331
7000000,7,42.4324,-6736.11,4.04327,0.0987075,0.324667
7500000,8,51.0703,-6736.14,12.7208,0.0955678,0.324
8000000,7,47.5642,-6739.37,12.8063,0.0936164,0.354
8500000,8,49.3765,-6742.4,3.66042,0.0956156,0.344
9000000,7,49.1823,-6737.57,5.8232,0.096525,0.36
9500000,11,75.187,-6733.13,23.4967,0.0916064,0.379
10000000,6,34.1542,-6736.41,9.25694,0.0943901,0.321
10500000,6,39.4872,-6741.53,20.4076,0.0978299,0.3275
11000000,9,63.6442,-6734.53,10.8707,0.0956774,0.355
11500000,6,39.7152,-6748.2,10.9828,0.0919296,0.334
12000000,11,67.1579,-6732.73,10.5421,0.0952538,0.3375
12500000,10,68.9533,-6738.41,13.6443,0.0957141,0.317
13000000,10,63.6977,-6726.07,6.88913,0.0930898,0.323
13500000,7,45.3095,-6742.25,10.2822,0.0978543,0.354333
14000000,12,77.1222,-6741.95,19.4875,0.097387,0.351
14500000,8,44.0708,-6737.67,6.19157,0.090034,0.3315
15000000,8,52.8089,-6745.14,10.1211,0.091514,0.342
15500000,7,43.9127,-6748.2,4.6212,0.0989546,0.345
16000000,10,62.6942,-6745.62,9.91999,0.0964359,0.326
16500000,8,50.4349,-6732.33,5.40665,0.094812,0.31
17000000,10,65.9082,-6732.24,8.56505,0.0901358,0.353
17500000,7,47.0255,-6742.85,7.22672,0.0929108,0.349
18000000,12,79.3203,-6729.84,7.95819,0.0972977,0.332
18500000,7,51.6643,-6751.23,7.95275,0.0939026,0.339
19000000,6,39.4308,-6741.28,4.48125,0.0928309,0.3385
19500000,12,71.2395,-6731.78,17.4231,0.0942813,0.357
20000000,10,66.4127,-6734.66,11.067,0.0945827,0.319
20500000,7,46.3862,-6740.98,15.0086,0.0946711,0.312
21000000,9,60.8389,-6753.73,9.18087,0.0966981,0.36
21500000,6,40.0366,-6744.79,5.50335,0.0905728,0.335
22000000,12,76.8384,-6734.99,13.6085,0.0962094,0.346
22500000,8,51.6707,-6735.26,12.6267,0.091414,0.318
23000000,4,28.6171,-6757.08,4.05414,0.0942594,0.331458
23500000,5,33.7311,-6751.71,4.63548,0.0945463,0.318
24000000,7,40.8262,-6750.63,16.4123,0.0937077,0.344
24500000,8,55.7767,-6730.77,9.7995,0.0936878,0.321
25000000,7,46.0692,-6745.2,13.7349,0.0957642,0.34
25500000,6,38.9372,-6748.13,5.55766,0.0932474,0.328333
26000000,10,69.1873,-6735.26,9.28611,0.0931112,0.391
26500000,8,46.9501,-6736.68,12.9757,0.0944152,0.291
27000000,9,57.5524,-6733.69,5.15677,0.0917251,0.331
27500000,7,42.3993,-6749.16,6.07078,0.0981857,0.3085
28000000,12,71.7467,-6732.38,9.4552,0.0945896,0.364
28500000,8,51.8814,-6741.8,8.95167,0.0926019,0.338
29000000,8,49.4781,-6748.4,9.44305,0.0903812,0.337
29500000,7,46.5185,-6744.54,4.20879,0.0975217,0.322
30000000,10,63.5027,-6739.26,8.95926,0.0939899,0.318
30500000,7,42.9878,-6740.74,8.77607,0.0920509,0.36
31000000,6,37.755,-6744.96,6.07108,0.0938867,0.3362
31500000,6,37.8162,-6737.58,12.7469,0.0985171,0.3475
32000000,7,47.1867,-6743.24,9.23302,0.0926628,0.308
32500000,7,50.0994,-6741.6,9.95181,0.0947936,0.313
33000000,10,67.8697,-6733.25,6.49001,0.0944596,0.339
33500000,8,51.6766,-6735.55,8.67591,0.0945933,0.341
34000000,7,43.2118,-6747.49,4.29503,0.0953369,0.3335
34500000,8,53.0023,-6733.06,10.0057,0.0920562,0.3
35000000,7,47.1423,-6744.1,6.15743,0.092321,0.34
35500000,11,72.4133,-6757.17,6.64553,0.0973567,0.364
36000000,10,71.0943,-6736.58,6.02762,0.0914869,0.331
36500000,9,57.0041,-6735.67,13.1637,0.0972648,0.3505
37000000,7,45.295,-6738.94,11.5252,0.0959244,0.3485
37500000,5,33.4996,-6748.47,3.05712,0.0964455,0.315833
38000000,11,68.3934,-6731.41,15.7326,0.0926023,0.354
38500000,9,54.3801,-6733.37,7.00637,0.0901903,0.337
39000000,7,43.4268,-6737.25,10.5187,0.093664,0.328
39500000,7,47.0256,-6738.92,11.5097,0.0937454,0.299
40000000,5,34.1611,-6754.73,7.86072,0.0939824,0.322
40500000,9,61.9763,-6747.4,17.6213,0.0987668,0.344
41000000,10,68.6911,-6736.46,9.10754,0.0963205,0.333
41500000,10,59.5076,-6737.64,17.0651,0.098454,0.348
42000000,6,40.4524,-6737.2,7.2663,0.0950105,0.311
42500000,10,65.5909,-6735.41,16.0447,0.0933793,0.331
43000000,8,52.0825,-6733.55,8.68405,0.0961516,0.344
43500000,8,45.0406,-6736.06,8.99906,0.0958235,0.342
44000000,8,53.7678,-6740.67,11.0039,0.088058,0.35
44500000,10,60.1366,-6728.08,10.2113,0.0953686,0.304
45000000,9,55.5254,-6737.82,6.13641,0.0966014,0.329
