generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0793727,0.001,0.0360529,0
500000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0426451,-0.00294571,0.0204612,0
500000,Salamandrella_keyserlingii,Ranodon_sibiricus,237.624,0.122744,-0.0015893,0.00345285,0
500000,Ambystoma_talpoideum,Ambystoma_gracile,215.416,0.11231,-0.00358782,0.00298925,0
500000,Mertensiella_caucasica,Phosphotriton_sigei,203.093,0.0638714,0.00646264,0.0214691,0
500000,Plethodon_caddoensis,Plethodon_jordani,258.696,0.123368,0.0101007,0.0200152,0
500000,Eurycea_naufragia,Eurycea_rathbuni,251.097,0.270571,-0.00324947,0.0387009,0
500000,Batrachoseps_gavilanensis,Batrachoseps_luciae,255.227,0.149013,0.00333705,0.0136318,0
500000,Ensatina_eschscholtzii,Hemidactylium_scutatum,163.594,0.0709597,-0.00325487,0.000119879,0
1000000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0250258,0.000657168,0.0190969,0
1000000,Salamandrella_keyserlingii,Parahynobius_kordosi,231.065,0.117876,-0.00643878,0.00174911,0
1000000,Ambystoma_talpoideum,Ambystoma_gracile,216.91,0.0922165,-0.00184451,0.000638003,0
1000000,Mertensiella_caucasica,Pleurodeles_waltl,204.068,0.107967,-0.004675,0.0288437,0
1000000,Plethodon_caddoensis,Plethodon_jordani,258.895,0.147815,0.000998687,0.0126096,0
1000000,Eurycea_rathbuni,Eurycea_troglodytes,260.029,0.252203,-0.00398081,0.0476389,0
1000000,Parvimolge_townsendi,Pseudoeurycea_cephalica,223.962,0.0663906,-0.00288949,0.000707975,0
1000000,Bolitoglossa_gracilis,Bolitoglossa_gomezi,257.252,0.141442,0.000253333,0.00132897,0
1000000,Ensatina_eschscholtzii,Hemidactylium_scutatum,164.552,0.0532456,0.000624117,0.000198936,0
1500000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0508238,-0.00495243,0.018257,0
1500000,Salamandrella_keyserlingii,Parahynobius_kordosi,215.335,0.0780386,0.00680866,0.00355199,0
1500000,Ambystoma_gracile,Ambystoma_opacum,237.34,0.10291,-0.00395978,0.00173581,0
